track_name,emotion,album,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Ooh La La (From ""Shubh Mangal Zyada Saavdhan"")",0,"Ooh La La (From ""Shubh Mangal Zyada Saavdhan"")",4XeiaqgffFCVCnRykaTuPg,0.796,0.918,1,-2.606,1,0.125,6.10E-06,0.191,0.862,130.013,199615,4
"Lift Teri Bandh Hai (From ""Judwaa 2"")",0,"Oonchi Hai Building 2.0 (From ""Judwaa 2"")",3ElJ4RSdrweHUb1jsPEOF8,0.829,0.76,1,-5.552,1,0.106,1.04E-05,0.336,0.773,107.01,204550,4
O Saki Saki,0,Batla House,1K8zYNuDywMknSJuNGoWy0,0.737,0.961,10,-0.155,0,0.0747,0,0.361,0.568,108.014,191089,4
"Bezubaan Kab Se (From ""Street Dancer 3D"")",0,"Bezubaan Kab Se (From ""Street Dancer 3D"")",1WzOH0E1W1z5jcLluumQGE,0.747,0.865,7,-5.991,1,0.0451,0.00058,0.0764,0.209,124.985,271279,4
Lagan Lagi,0,Tere Naam,2wCYsTuY8Wsw0iBlw06mbg,0.667,0.727,1,-8.585,1,0.0502,6.52E-05,0.253,0.756,98.975,275520,4
Main Hoon Don,0,Don,3FrzIfTz8mMS8Xowzu3ZUj,0.651,0.687,9,-8.674,1,0.0445,1.86E-05,0.0809,0.186,120.015,330133,4
Aaj Ki Raat,0,Don,4bPF3oy4JsKK1UeMMn7Byf,0.738,0.823,1,-6.966,0,0.0658,0.00627,0.0871,0.923,137,368480,4
Don Revisited,0,Don,0ZtqCBPeXRoMxjKdjUSBno,0.438,0.863,2,-9.358,1,0.0331,0.806,0.103,0.508,131.805,286000,4
Jhalak Dikhla Ja,0,Aksar,43SKg10CCeaoyr7XSKfpTR,0.688,0.737,2,-10.051,1,0.0443,0.00025,0.0599,0.635,110.969,317560,4
Dil Dooba,0,Khakee,6cUaCs1lKfDOyFKMkBF8ch,0.814,0.909,0,-6.875,1,0.0753,0,0.345,0.961,100.004,230947,4
Aankhen Bandh Karke,0,Aitraaz (Original Motion Picture Soundtrack),51wGpH0BKfx5KbGX8tvj4v,0.663,0.765,10,-7.027,0,0.0414,6.63E-06,0.205,0.499,89.981,341133,4
Tum Mile,0,Tum Mile (Original Motion Picture Soundtrack),1EjxJHY9A6LMOlvyZdwDly,0.738,0.798,0,-6.663,1,0.0334,5.15E-06,0.31,0.793,123.01,343787,4
Tune Jo Na Kaha,0,New York,0pw3p4gf5homOkvOGOJulF,0.314,0.475,5,-12.38,1,0.0838,0.00539,0.34,0.312,78.992,310073,4
Kabhi Kabhi Aditi,0,Jaane Tu... Ya Jaane Na,3APdIdF8H0jsxSuGOqXedS,0.791,0.558,7,-7.155,0,0.0661,0,0.0859,0.872,95.077,218836,4
Zara Sa,0,Jannat (Original Motion Picture Soundtrack),18YHbIhrleUkKKj2DvEp79,0.468,0.91,11,-3.057,0,0.051,0.000304,0.271,0.694,163.842,303680,4
"Thug Le (From ""Ladies V/s Ricky Bahl"")",0,My Ultimate Bollywood Party 2012,3qlL6HWvkQ0EDzRHC6Rre5,0.753,0.77,1,-6.282,1,0.0634,1.75E-05,0.123,0.945,113.016,216147,4
"Pani Da Rang Male (From ""Vicky Donor"")",0,Vicky Donor,6eTPyEkYUmDUFvNxJdNuOD,0.679,0.622,4,-8.514,0,0.0328,6.52E-05,0.106,0.483,98.028,240787,4
"Jugni (from ""Cocktail"")",0,Cocktail,37pIbmzFbXQ4iQe38ehn2c,0.614,0.759,1,-6.763,1,0.107,0,0.3,0.361,166.096,417386,4
Tum Hi Ho,0,Aashiqui 2,56zZ48jdyY2oDXHVnwg5Di,0.528,0.449,5,-6.25,0,0.025,0,0.122,0.317,94.058,261974,4
Jogi Mahi,0,Bachna Ae Haseeno,6TuPGbfbcWxITQnyMy04rU,0.702,0.843,5,-5.868,0,0.0846,0.000382,0.282,0.872,98.028,294949,4
Tum Ho,0,Rockstar,7uNnlVit5qDvfOje0pqICF,0.356,0.47,5,-8.929,1,0.0278,1.00E-05,0.0807,0.167,93.895,316500,4
Bulleya,0,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0,0.112,0.702,86.957,348966,4
Rab Ka Shukrana,0,Jannat 2 (Original Motion Picture Soundtrack),2VJIaxgWeyw9loL1sqKl7c,0.602,0.559,10,-6.203,0,0.0426,0,0.131,0.44,122.017,299573,4
Tujhe Sochta Hoon,0,Jannat 2 (Original Motion Picture Soundtrack),47l2Dd3XPBLio3kjbEMyDJ,0.579,0.712,0,-6.119,0,0.0308,0.000253,0.18,0.486,80.998,313933,4
Dil De Diya Hai,0,Masti,2zT6KfK583MkcLIHLBO8De,0.599,0.689,0,-5.668,0,0.0452,1.10E-05,0.119,0.537,86.927,366747,4
Senorita,0,Zindagi Na Milegi Dobara,3TAhWtQnpoL5Vl9VQPl9fU,0.701,0.681,9,-6.442,1,0.0466,0,0.064,0.81,122.539,229576,4
Mit Jaaye Gham (Dum Maaro Dum),0,Dum Maaro Dum,33vhuNbI4A5BcXBYcw9wZx,0.747,0.921,0,-3.851,1,0.0859,0.000164,0.0367,0.671,129.945,232734,4
Khalbali,0,Rang De Basanti (Original Motion Picture Soundtrack),6sXzqMagXtWvSOI9nNc4UD,0.789,0.707,7,-7.973,1,0.109,0,0.177,0.605,97.015,379227,4
Kabhi Alvida Naa Kehna,0,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4uXShFWajd1PTQzlW3P4jj,0.365,0.407,5,-10.352,1,0.0424,0.00129,0.212,0.464,149.161,483920,4
"Yahi Hota Pyaar (From ""Namastey London"")",0,Namastey London,759KVYocSBXI5cbDBLgsNy,0.709,0.688,2,-9.096,1,0.0386,0.000665,0.129,0.607,107.994,383613,4
Kun Faya Kun,0,Rockstar,7F8RNvTQlvbeBLeenycvN6,0.362,0.378,1,-11.008,1,0.0329,0,0.091,0.575,87.549,470500,4
Channa Mereya,0,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0H2iJVgorRR0ZFgRqGUjUM,0.476,0.788,9,-4.821,0,0.0446,2.49E-05,0.106,0.746,90.066,289333,4
Bezubaan Phir Se,0,ABCD 2,6SgKgoIUaD3UskSh2eNcga,0.491,0.616,6,-8.67,0,0.0918,0.00329,0.102,0.338,99.972,272434,4
